gruppo,media_autenticazione,media_applicazione,media_device
Up Xtreme,0.03884177777777778,1.0700312222222221,1.101888888888889
PI 0,0.0387822,0.9605507,1.2407
Rosbot3,0.0415532,1.3246952999999997,1.4453999999999998
