dispositivi,media_autenticazione,media_applicazione_regole,media_device

3,0.1411735,4.8074336,8.249799999999999
5,0.8638134000000001,20.2725705,27.467599999999997
10,2.0515215999999996,92.5744698,129.407
15,3.0400426,244.43928400000004,403.9373
